"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"result.28",0.847452129787653,0.885763952590051,0.871936576886789,1.32235109194573,0.841202359941385,0.870211484566066,1.00335815738011,1.03346125167812,0.948713676949139,0.936528922913067,0.386477063442148,0.3965643172914,0.4056785718351,0.286504784831683,0.370114088733657,0.338975701994457,0.339941905715737,0.359986905887801,0.328295652102019,0.354393053907219,1.20344240282304,0.283661233758602
"result.29",0.746203993691678,0.535616601207096,0.584301806765313,0.544208754097671,0.559824399688407,0.524135458184426,0.612641302501855,0.606350715663569,0.603496043321618,0.607488829836127,0.280032614639159,0.252106117686468,0.227838766698317,0.235142350200706,0.300634340019399,0.247110341940692,0.288649146489303,0.305837951239789,0.285892715974098,0.274734476864325,0.60957451658719,0.301309749578756
"result.30",0.748941155725327,0.742345069170536,0.626090656781428,0.602843282177858,0.618839397053042,0.72873282733134,0.768456605111557,0.746462559038084,0.948759852292872,0.968097004077856,0.371413856754044,0.372838345385096,0.313722125580843,0.299227503566794,0.312292352985175,0.362807327206843,0.391644606692937,0.379431032022974,0.427041430164072,0.429934338469881,0.956877471224471,0.443251698502912
"result.31",1.48425605083251,0.862044008152893,0.855835724693587,0.90515412371341,0.830497673327041,0.785380819046355,0.775388588308791,0.765521884865193,1.13074738534453,1.14396908995251,0.341117783799304,0.302729788534653,0.291258796484524,0.27252992122393,0.287070014801896,0.27358058814347,0.278456390180235,0.308538761033428,0.325116811554549,0.333074851959333,1.10991602835269,0.31743060740866
"result.32",0.840976286125966,0.908482228288848,0.869230914592579,0.862349919245028,0.698019134452882,0.692363769075666,0.743396612642901,0.678996715497001,0.723485819995939,0.751020462611133,0.327943917723853,0.295950007371632,0.323519886028852,0.314537652371611,0.319156286556164,0.308826105894556,0.358720129324751,0.303606240505426,0.295553242318357,0.310034340492246,0.740629264692367,0.307032034683387
"result.33",0.98659053470908,0.990839451810583,1.11475315821261,0.90214521462342,0.944353843790264,1.06255223055507,1.09396036870152,1.078177460293,1.05852165597928,1.13156588385066,0.427798249940327,0.455573672684234,0.372106493088811,0.38913925555949,0.384553891122641,0.384872973533542,0.37995893446989,0.37590915868261,0.376016423670359,0.36835097844856,1.00083663700017,0.385320259210557
"result.34",0.956269533490992,1.00912299190227,0.959755193105739,0.830054292483164,0.863927263623443,0.824736853478558,0.979610108364247,1.02008597463161,0.990929927416578,1.0162891867593,0.476172100109878,0.523323728240368,0.475773229719298,0.401496855602864,0.465177461245035,0.416537873853392,0.422784049677324,0.428757324103815,0.408128424101242,0.386076809096268,1.09314682286273,0.393323898281663
"result.35",1.42108744556419,1.23078184009448,1.31268533128541,1.35036787076937,1.0244198645007,0.988574478512696,1.02012199390929,0.94681421885378,0.990201241579174,1.38791796849271,0.685113740472658,0.616759569968566,0.586652693813701,0.660983143611669,0.445723106305234,0.449326766873813,0.471527522103417,0.462652930433692,0.469893321420164,0.368117458308956,1.31569851258403,0.356541219401785
"result.36",0.709307532247619,0.820459886517272,0.68822817256607,0.751180677260558,0.681000109474178,0.717901074112294,0.685041567804657,0.688643642269565,1.03887406865101,0.708634079431441,0.319014485843526,0.281201792854862,0.297701719732973,0.281293089211488,0.293504287609802,0.283077915811009,0.326699337049029,0.317877162143313,0.284230821387023,0.269642967116438,0.77813407237474,0.274168754823886
"result.37",0.880987801399886,0.864445456650132,1.52629514843103,0.857088851114366,0.873454114263581,0.825276980021132,0.863949749969789,0.833113382176346,0.7429828104816,0.804168418953629,0.379346799037462,0.442288447854746,0.431070679229876,0.387023204926621,0.437692937205068,0.395753515218276,0.420951642307749,0.41455915128081,0.358345736636752,0.389787478245853,0.729245310925164,0.344226818638963
