"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"result.11",2.99799054513348,2.87906788702687,2.7357443104607,3.36211039574453,3.51328653223081,2.88965183449822,2.71248945342196,2.48070161375465,3.5435693622155,3.53895531805814,1.00085755904047,1.15114511648813,0.978639579975052,1.02610672850755,1.03564549005574,0.73032693625067,0.712713555446625,0.798863704201304,0.901816046817957,0.910986996882307,9.27419866222421,1.6944782784394
"result.12",2.82417735395572,12.2807663463726,2.58242181512587,2.60070244725501,2.60631313268493,2.5337171364103,9.64966167975976,2.46714030416857,3.56446701385632,2.80360141595053,1.285295988243,1.53642969899007,1.247221063484,1.26638682044928,1.16446857097632,1.21419380646313,1.42614902419615,1.14427934463538,0.895573484289765,0.969350365270606,3.89224120457877,1.51625895947861
"result.13",1.77554669729717,1.76485607039876,1.7623830225741,1.87013595818678,1.72926305334262,1.85719801592509,1.72802533745986,1.74319755639317,1.80663923961084,1.78053051198295,0.771192255565832,0.762115633695333,0.816058533791119,0.843886068296666,0.746738517869913,0.856588659863584,0.745073841284319,0.767333080094205,0.830097790293898,0.800812025011419,5.11639964166033,1.17069933281717
"result.14",4.36086959695188,3.19736099952888,3.15811281775704,3.33957187165485,7.8098206987931,9.98458198753173,3.04694631281312,3.06608208794633,5.4290199299405,5.46685607067539,1.36847133001541,1.35816797813409,1.42024846003779,1.49481079269429,1.58916108711599,1.72118193959605,1.27928075414123,1.1892700792231,1.71636969431516,1.66815859779332,9.52445728152489,2.22915314846734
"result.15",3.91606421631644,2.5886755180238,2.46405085776708,2.73313558767886,2.93419543309756,2.98290093312486,2.30171084300138,2.74380736758767,3.00658996881811,3.39007199511259,0.800333871496115,0.802550830844775,0.793966399811836,0.766326644281856,0.754421940561891,0.768363580262125,0.796103255066897,0.758441072964325,0.782249735895622,0.816332557689199,8.25965850125133,1.95862144677322
"result.16",4.50295137437265,13.1991653552208,11.5422023020515,9.36360217354874,5.59707865250472,7.53520367599403,5.30932050110911,7.32405281448039,4.96632141155436,5.25438282141247,2.0871618743801,2.0052728212095,2.17350189435144,2.04785332303912,1.9846500842446,1.98981359630371,1.85121856022948,1.42938018826402,1.67145900741161,1.57155568840687,6.5649890669243,2.06367179797902
"result.17",2.27189995187446,1.4625296673833,1.42461865095503,1.57913971509618,1.6039038963759,1.49134633967599,1.37724868090992,1.43990964788098,1.57109396872757,2.95345449569479,0.460613295261557,0.56471180657371,0.641372294970754,0.581459613646658,0.539295895808281,0.665728984136159,0.686795757458434,0.778951338244182,0.633947077542419,0.84313798545747,2.78584009833361,0.994057129124378
"result.18",3.75648873846129,4.76176279838614,5.03584533087235,4.32071143099937,3.71571553925959,3.87612443080006,4.2305438434291,3.46517816357691,3.63357828416155,3.64930572203856,1.51558456540171,1.45131374703902,1.41016617230116,1.49050175795356,1.4545405447485,1.60762501507598,1.45162872448411,1.21328616389854,1.21100626357003,1.1519754802112,7.63273973213416,1.65353987323171
"result.19",2.55911551310519,3.10214495715882,2.34804276239656,2.81255110852072,2.63156573482498,2.42644470801619,2.44426258497683,2.30867852158855,3.1928980990035,3.21283427720617,1.08415764639778,1.20582757331002,1.13698145678272,1.05446498262379,1.15419905801326,1.12223520813643,1.15528598762495,1.14934946551114,0.814667628254454,0.933140955356894,8.04198369394389,1.83638614261626
"result.20",8.31171176575846,1.89805093441448,6.14120868131466,1.83892642703661,6.79585694248521,1.8622220729175,1.8311088036068,7.30636033326041,1.92383681513226,2.53982008951078,1.21055977260526,0.897024857608822,0.957311538731918,0.836899699840656,1.13834072106563,0.828631549489924,0.817601333107406,1.15579015627331,0.86413873974643,0.801469804063225,4.79287729855481,1.41344400188591
"result.21",4.11532544909195,4.13766566635913,3.84798237558163,4.14222530012978,5.19093500318406,4.13276926897265,4.04586790216155,4.52509968907777,5.18987679443027,5.25412552117343,1.43987460887769,1.51759621883511,1.5293680717882,1.51750451841696,1.41166419357676,1.4749861295284,1.47253496673469,1.43971009422833,1.2600946377706,1.17109714903215,6.48470058299731,1.40379933218638
"result.22",4.86838387019877,4.92988222894507,4.54996625621841,4.32045730517507,4.7741651927523,4.77901505732715,4.41202145431886,4.898209933494,5.74256286094289,5.19168977114055,1.25064953818816,1.24171906816711,1.2381366598261,1.26235461046615,1.22512145055076,1.29213032503861,1.23146252033774,1.22719876212322,1.39971601852173,1.59009822221012,6.52998521366916,1.61793338514208
"result.23",2.09958166836133,2.26411629316879,2.30012818069113,2.20740807789565,2.24009089537809,2.1647857459541,2.12595484420149,2.50461847804052,2.138324050061,2.15867742103666,1.00800854159767,1.009467546139,1.11951146362808,1.0975330426586,0.999064893737808,1.11656576049089,1.11481323791419,1.12770235884287,0.848661173846683,0.851439341554372,4.14244284650017,1.01100144662549
"result.24",0.729610036733503,0.769067978814253,4.94164898605749,4.71451242701274,3.68958213124091,3.29664143668305,3.15805152274538,3.2867914895103,3.12016782483436,2.91143713770931,0.322307961899974,0.338607674966662,1.23749508535652,1.21139236470408,1.10914083081329,0.999132157259917,0.929153092978262,0.872464460267768,0.95776327477999,0.848221578927176,4.05587129403597,1.24526251109344
"result.25",1.39531763066771,1.39480750381103,1.40466071354034,1.36940156382416,1.41856952989474,1.39227878891724,1.40893068350505,1.38803516658536,1.39768327066094,1.58044492225097,0.624649475503545,0.536921816774246,0.638141740572159,0.602763263053679,0.618886829268953,0.59456923384535,0.621042857675568,0.618386173586292,0.622462694218656,0.658597712351893,6.12036912055577,1.43163652636475
