"R0000100","R0002200","R0002202","R0002203","R0002300","R0002400","R0002451","R0002454","R0002455","R0002456","R0002500","R0002700","R0002800","R0003400","R0003600","R0003800","R0003900","R0004000","R0004100","R0004300","R0005400","R0009100","R0010500","R0010800","R0011100","R0012800","R0015000","R0022600","R0022700","R0022800","R0022900","R0023000","R0023100","R0023200","R0023300","R0023400","R0023500","R0023600","R0023700","R0023800","R0024000","R0024100","R0024200","R0024300","R0024400","R0024500","R0024600","R0024800","R0024900","R0029700","R0029800","R0029900","R0030000","R0030100","R0030200","R0030300","R0030400","R0030500","R0030600","R0030700","R0030800","R0030900","R0031000","R0031100","R0031200","R0031300","R0031400","R0031500","R0031600","R0031700","R0031800","R0031900","R0032000","R0032100","R0032200","R0032300","R0032400","R0032500","R0032600","R0033600","R0033700","R0033800","R0033900","R0034600","R0034900","R0035100","R0035200","R0035300","R0035400","R0035500","R0035600","R0035700","R0035800","R0035900","R0036000","R0036100","R0037500","R0037600","R0037700","R0038000","R0038100","R0038200","R0038800","R0038900","R0039000","R0039100","R0039200","R0039300","R0039400","R0039500","R0039600","R0039700","R0039800","R0039900","R0040000","R0040100","R0040200","R0040400","R0040600","R0040700","R0040800","R0040900","R0041100","R0041300","R0041400","R0041500","R0042100","R0042200","R0042300","R0042400","R0042500","R0042600","R0042700","R0042800","R0042900","R0043000","R0043100","R0043200","R0043300","R0043400","R0043500","R0043600","R0062300","R0062310","R0062550","R0062600","R0062900","R0063000","R0063030","R0063060","R0063090","R0063100","R0063200","R0063230","R0171200","R0171300","R0171400","R0171500","R0171600","R0171700","R0171800","R0454700","R0507300","R0543940"
2887,16,6,50,2,6,1,1,1,2,4,1,2,20,2,4,4,1,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,1,4,1,4,2,2,1,2,1,2,2,4,1,4,1,2,1,2,1,1,1,1,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,2,0,-4,1,1,3,1,1,1,1,1,1,1,1,6,6,-4,1,1,1,3,-4,-4,-4,3,-4,-4,-4,-4,1,13,75,-4,0,0,0,-4,-4,13,75,-4,0,0,0,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5
2888,17,9,48,2,6,1,1,1,2,4,1,2,20,2,4,4,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,2,2,2,1,2,1,2,3,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,6,5,804,0,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,11,10,1,5,0,-4,-4,-4,11,10,1,6,0,-4,-4,-4,0,0,7,7,89,-4,-4,-4,-4,-4,1,52,2,1,1,1,1,1,1,150,1,11
2889,21,-4,44,2,6,1,1,1,2,4,1,2,20,2,4,4,1,1,0,2,6,0,2,1,1,-4,2,1,-4,-4,9,14,-4,50,3,-4,90,3,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1,4,2,1,1,4,1,3,1,3,3,3,3,3,1,3,1,2,2,2,1,1,2,1,1,1,2,0,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,60,200,48,2,0,-4,1,2,3,1,1,1,1,1,1,1,1,1,1,200,0,1,0,4,-4,6,1,4,0,-4,5,1,1,10,29,-4,7,1,6,8,804,-4,-4,-4,-4,-4,-4,-4,-4,-48,-48,14,9,68,-2,-2,-4,-4,6,0,0,0,-4,-4,-4,-4,-4,-4,170,1,12
2890,18,7,47,2,6,1,1,1,2,4,1,2,20,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1,2,2,2,1,4,1,4,3,2,2,4,3,4,1,2,1,4,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,10,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,6,5,804,0,0,1,3,-4,-4,-4,1,-4,-4,-4,-4,1,7,49,-4,6,0,52,35,804,10,13,1,8,0,-4,-4,-4,-10,-10,7,7,65,-4,-4,-4,-4,-4,1,52,7,1,2,2,3,5,5,354,1,18
2891,24,11,41,2,1,1,1,1,2,4,1,2,20,2,4,4,1,1,0,2,6,0,-4,-4,-4,-4,2,14,-4,-4,25,-4,-4,130,4,-4,160,4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,2,1,3,1,3,1,2,1,3,1,2,1,1,1,1,1,3,2,1,2,2,2,2,2,1,1,1,1,2,1,2,-4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1000,2,4,-4,1,2,3,1,4,1,1,1,1,1,1,3,1,985,0,0,0,4,-4,6,1,4,0,-4,6,1,1,1,22,0,9,0,1,40,804,2,12,1,8,0,-4,-4,-4,-1000,-1000,7,11,52,-2,-2,-4,-4,6,0,0,-4,-4,-4,-4,-4,-4,-4,216,1,6
2892,18,4,47,1,6,1,0,3,1,8,1,1,20,2,4,4,1,1,1,1,6,0,1,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,3,1,2,1,3,2,1,3,2,1,2,3,2,3,1,2,1,3,1,2,2,1,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,64,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,5,1,82,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,47,-4,16,1,52,60,82,7,51,-4,13,1,0,-4,-4,0,0,84,1,140,1,52,82,84,16,0,0,2,2,3,3,4,8,6,750,1,14
2893,15,9,50,1,6,1,1,1,2,8,5,1,20,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,1,2,2,1,1,2,1,2,3,1,-2,-4,3,4,1,4,1,2,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,25,0,0,0,0,0,0,0,0,1,-4,-4,1,1,2,1,1,1,1,1,1,1,1,2,1,82,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,47,-4,16,1,52,44,82,7,51,-4,13,0,0,-4,-4,25,25,84,1,122,1,52,82,84,16,0,0,2,2,2,3,4,7,6,-5,-5,-5
2894,16,8,49,2,6,1,1,1,2,8,5,2,20,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,4,3,-2,3,-2,3,2,2,4,-2,-4,1,2,1,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,2,5,804,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,37,-4,-4,-4,52,40,985,7,42,-4,9,0,52,15,804,0,0,7,7,79,1,52,985,7,-4,1,52,13,1,1,1,1,1,2,-5,-5,-5
2895,17,1,49,1,6,1,1,1,2,8,5,1,20,2,4,4,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,3,1,2,3,2,2,4,3,4,1,4,1,4,1,2,1,2,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,50,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,2,1,453,1,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,7,42,-4,12,1,52,40,394,-4,-4,-4,-4,-4,-4,-4,-4,50,50,49,5,106,-4,-4,-4,-4,-4,1,52,2,1,1,1,1,2,3,175,1,12
2896,20,12,45,2,6,1,1,1,2,8,2,2,20,2,4,4,1,1,0,2,6,1,-4,-4,-4,-4,2,8,8,-4,8,-4,-4,60,3,-4,200,1,-4,4,-4,-4,-4,-4,-4,-4,-4,411,1,-2,1,-2,1,2,2,3,3,3,2,3,-2,-4,1,4,1,3,1,4,2,2,1,1,2,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,902,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,13,0,-4,-4,-4,-4,-4,-4,13,-4,-4,-4,0,0,-4,-4,0,0,6,10,79,1,52,834,9,8,1,52,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2897,20,8,45,1,1,1,1,1,2,4,1,1,20,2,4,4,1,1,0,2,6,0,2,1,2,-4,2,8,5,21,14,8,-4,10000,3,4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,394,1,1,3,1,2,1,1,2,1,2,3,1,1,4,-2,-4,1,4,1,4,1,2,2,1,1,1,1,1,2,1,2,-4,0,0,2,1,10000,9000,523,0,0,0,0,0,64,720,5,2,1,-4,1,2,2,1,2,1,1,1,1,1,1,1,6,200,1,0,1,3,-4,-4,-4,3,-4,-4,-4,-4,1,1,20,0,12,0,0,-4,-4,2,0,-4,-4,-4,-4,-4,-4,1518,1518,14,9,96,-4,-4,-4,-4,-4,-4,-4,2,1,1,1,2,3,4,250,1,11
2898,23,5,42,1,1,1,1,1,2,4,1,2,20,2,4,4,1,1,0,2,6,0,1,1,1,-4,2,7,2,-4,24,-4,-4,400,5,4,700,5,-4,2,-4,-4,-4,398,404,1,-4,-4,1,2,3,2,2,1,1,2,1,2,3,1,2,2,3,4,1,4,1,4,2,2,2,2,1,1,1,1,2,1,2,-4,0,0,2,2,0,0,0,0,0,0,0,0,66,3000,1600,2,1,-4,1,1,3,1,2,1,1,1,1,1,1,2,1,715,0,1,0,4,1,6,1,4,1,0,6,1,1,1,21,0,12,1,52,40,414,2,0,-4,-4,-4,-4,-4,-4,-1600,-1600,15,6,63,1,52,715,15,6,1,52,0,-4,-4,-4,-4,-4,-4,-5,-5,-5
2899,23,4,42,1,1,1,1,1,2,4,1,1,20,2,4,4,1,1,0,2,6,1,-4,-4,-4,-4,1,1,7,-4,25,-4,-4,115,3,-4,-4,-4,2,4,-4,-4,-4,-4,-4,-4,-4,675,1,-2,3,2,2,-2,1,-2,2,-2,3,-2,-2,-4,3,-2,1,4,1,-2,1,2,2,1,1,1,1,1,2,1,2,-4,0,0,2,1,500,0,0,0,0,0,0,0,56,0,0,2,2,-4,1,3,2,1,3,1,1,1,1,1,1,5,1,411,0,1,1,4,1,-2,-4,4,0,-4,-2,-4,1,1,21,0,10,1,0,-4,-4,2,4,-4,-4,-4,-4,-4,-4,500,500,19,5,-4,1,52,411,19,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5
2900,17,12,48,1,6,1,1,1,2,4,1,1,20,2,4,4,1,1,0,2,6,0,3,1,2,-4,3,6,-4,-4,20,-4,-4,140,1,-4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,995,-2,-4,1,1,2,-2,1,3,1,4,3,1,-2,-4,-2,-4,1,4,-2,-4,1,1,1,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,55,180,0,2,0,-4,1,3,1,2,1,1,1,1,1,1,1,6,5,-4,0,1,0,2,-4,-4,-4,4,0,-4,10,1,1,13,24,0,8,1,52,44,675,10,21,0,10,1,0,-4,-4,0,0,-4,-4,80,-4,-4,-4,-4,-4,0,0,8,1,1,1,1,2,3,-5,-5,-5
2901,21,9,44,1,1,1,1,1,2,4,1,1,20,2,4,4,1,1,0,2,6,0,1,0,2,-4,1,3,3,1,25,-4,-4,450,5,-4,450,5,-4,3,-4,-4,-4,-4,-4,-4,1,-4,3,2,3,2,2,1,1,3,1,2,3,1,2,3,3,4,1,4,1,4,1,2,1,1,1,1,1,1,2,1,2,-4,0,0,2,1,8600,7800,0,0,0,0,0,0,61,200,500,2,2,-4,1,2,2,3,2,1,1,1,1,1,1,6,4,472,0,0,0,4,1,6,1,3,-4,-4,-4,-4,1,1,20,0,10,0,0,-4,-4,2,2,-4,-4,-4,-4,-4,-4,300,300,19,5,75,1,52,385,66,6,-4,-4,1,1,2,2,3,5,5,14000,1,11
2902,18,9,47,2,6,1,1,2,2,8,2,3,20,2,4,4,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,4,3,2,2,-2,-2,-4,-2,-4,-2,-4,3,4,2,4,2,2,2,2,2,1,1,1,2,1,2,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,53,0,0,1,-4,-4,1,1,3,3,1,1,1,1,1,1,1,1,1,200,0,0,0,1,-4,-4,-4,2,-4,-4,-4,-4,1,6,50,-4,3,0,52,60,200,11,12,1,6,0,-4,-4,-4,0,0,14,9,36,1,52,200,14,2,-4,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
2903,20,4,45,1,6,1,0,3,1,8,2,1,20,2,4,4,1,1,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,1,-2,-4,1,2,3,1,2,4,3,4,1,2,1,4,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,1000,0,0,0,0,0,0,0,0,1,-4,-4,1,1,2,1,1,1,1,1,1,1,1,6,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,47,-4,17,0,52,40,290,7,51,-4,12,1,0,-4,-4,1000,1000,68,2,131,1,52,290,68,16,0,0,1,2,3,4,4,8,7,15500,1,16
2904,19,5,46,1,6,1,0,3,1,8,5,-4,20,2,4,4,1,1,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,3,2,2,2,-2,-4,1,3,3,2,2,4,3,4,1,4,1,4,2,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,500,0,560,0,0,0,0,0,0,1,-4,-4,1,1,2,1,1,1,1,1,1,1,1,6,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,47,-4,16,1,52,40,290,7,51,-4,12,1,0,-4,-4,1060,1060,68,2,133,1,52,290,68,16,0,0,1,2,3,4,5,9,7,-5,-5,-5
2905,18,7,47,2,6,1,1,2,2,8,2,2,20,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1,4,2,2,1,4,-2,-4,3,2,1,2,2,4,3,1,3,2,2,2,1,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,2,3,1,1,1,1,1,1,1,1,1,1,200,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,10,14,1,7,0,0,-4,-4,11,13,1,5,0,-4,-4,-4,0,0,14,9,67,1,6,985,7,3,1,52,13,2,2,3,3,6,5,300,1,12
2906,15,1,51,2,6,1,1,2,2,8,2,2,20,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,4,2,-2,3,4,2,4,3,-2,3,4,2,-2,3,3,3,4,1,2,1,2,2,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,11,8,1,3,0,-4,-4,-4,11,6,1,1,0,-4,-4,-4,0,0,14,9,71,1,6,985,7,3,1,52,2,1,1,1,1,1,1,-4,1,12
2907,14,10,51,2,6,1,1,2,2,8,5,2,20,2,4,4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,-2,-4,-2,-4,-2,-4,2,2,3,2,2,3,1,2,3,2,1,3,1,1,2,2,2,2,1,2,2,0,1,0,1,-4,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,1,5,-4,0,0,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,7,56,-4,9,1,0,-4,-4,10,20,1,11,0,0,-4,-4,0,0,-4,-4,77,-4,-4,-4,-4,-4,0,0,-4,-4,-4,-4,-4,-4,-4,-4,6,12
2908,17,3,49,2,6,1,1,2,2,8,5,2,20,2,4,4,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,2,-2,2,2,2,-2,2,-2,3,-2,1,-2,1,3,3,-2,1,-2,1,2,2,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,1,5,804,0,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,7,57,-4,10,0,52,35,804,11,9,1,4,0,-4,-4,-4,0,0,7,7,82,-4,-4,-4,-4,-4,1,52,0,-4,-4,-4,-4,-4,-4,250,6,14
2909,21,12,44,2,6,1,1,2,2,8,4,2,20,2,4,4,1,1,0,2,6,0,1,1,1,-4,1,8,-4,-4,25,-4,-4,50,3,-4,-4,-4,2,4,-4,-4,-4,-4,-4,-4,-4,715,1,-2,2,4,1,2,3,4,3,4,1,1,2,4,1,4,3,2,2,4,2,2,2,1,2,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,59,500,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,5,-4,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,6,1,32,35,971,7,38,-4,10,1,0,-4,-4,0,0,-4,-4,83,1,32,971,8,6,0,0,13,1,2,2,3,5,5,255,1,12
2910,16,12,49,2,6,1,1,2,2,8,4,2,20,2,4,4,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,3,1,2,2,2,1,4,2,4,2,3,-2,-4,2,4,2,3,-2,-4,1,2,1,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,971,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,10,11,1,7,0,-4,-4,-4,10,10,1,4,0,-4,-4,-4,0,0,8,11,86,1,52,971,8,6,0,0,0,-4,-4,-4,-4,-4,-4,260,1,12
2911,23,4,42,2,6,1,1,2,2,8,5,2,20,2,4,4,1,1,0,2,2,-4,1,1,1,-4,2,15,22,14,22,14,9,90,3,4,200,3,-4,4,-4,-4,-4,-4,-4,-4,-4,995,1,2,2,2,2,2,1,4,2,2,3,1,1,4,-2,-4,1,2,1,4,2,2,1,2,1,1,2,1,2,0,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,2,3,2,1,1,1,1,1,1,1,1,1,200,0,0,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,10,6,1,1,0,-4,-4,-4,10,4,-4,-4,-4,-4,-4,-4,0,0,14,9,47,-4,-4,-4,-4,-4,0,0,13,1,1,1,1,1,2,201,1,12
2912,15,9,50,2,6,1,1,2,2,8,5,2,20,2,4,4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,2,1,2,3,2,3,1,3,2,2,1,1,2,3,1,1,2,2,2,1,2,1,2,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,2,0,-4,1,2,3,2,1,1,1,1,1,1,1,3,5,804,0,0,0,2,-4,-4,-4,4,1,1,10,0,1,13,63,-4,0,0,52,40,902,13,40,-4,9,0,0,-4,-4,0,0,7,7,79,-4,-4,-4,-4,-4,1,-2,-4,-4,-4,-4,-4,-4,-4,475,1,11
2913,21,4,45,1,6,1,1,2,7,2,1,1,31,1,1,1,3,1,1,1,6,0,1,1,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1,2,2,2,3,2,1,3,3,1,2,4,3,4,1,4,1,4,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,400,0,0,0,0,0,0,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,4,1,555,0,1,1,1,-4,-4,-4,4,1,1,12,1,1,6,46,-4,12,1,52,40,471,7,35,-4,12,1,0,-4,-4,400,400,18,12,103,1,52,471,48,12,0,0,10,2,3,4,5,10,8,25000,4,16
2914,16,7,49,1,6,1,1,2,7,2,1,1,31,1,1,1,3,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,3,2,2,2,1,4,1,4,2,2,2,4,3,4,1,4,1,4,1,2,1,2,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,1000,200,-2,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,3,1,1,1,4,1,172,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,18,1,52,40,172,7,44,-4,16,1,30,15,182,-2,1200,81,1,150,1,52,172,81,18,1,30,2,2,3,4,5,10,8,-5,-5,-5
2915,17,3,49,1,6,1,1,2,7,2,1,1,31,1,1,1,3,1,1,1,6,0,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,3,1,2,1,1,2,1,1,3,1,2,2,3,3,1,4,1,3,2,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,50,75,60,0,0,0,0,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,3,1,250,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,51,-4,14,1,52,52,394,7,49,-4,14,1,52,30,342,185,185,72,2,135,1,52,394,47,14,1,52,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2916,14,2,52,1,6,1,1,2,7,2,1,2,31,1,1,1,3,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,1,3,3,1,3,3,1,2,4,3,4,1,4,1,4,1,2,1,2,1,1,1,1,2,1,1,0,1,-4,1,-4,0,0,250,0,0,0,0,0,0,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,3,1,4,1,555,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,46,-4,17,1,52,40,555,7,41,-4,12,1,0,-4,-4,250,250,18,12,121,1,52,555,18,17,0,0,-5,-5,-5,-5,-5,-5,-5,325,6,17
2917,15,2,51,1,6,1,1,2,7,2,1,1,31,1,1,1,3,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-4,-4,3,2,2,1,4,1,3,3,2,2,4,3,4,1,3,1,4,1,2,2,2,1,2,1,1,2,0,1,0,0,0,1,-4,0,0,20,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,4,4,1,1,4,1,675,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,7,0,52,68,675,7,38,-4,12,1,0,-4,-4,20,20,29,6,99,1,52,675,29,6,0,0,10,2,3,3,4,7,6,12000,1,14
2918,15,10,50,1,6,1,1,2,7,2,1,2,31,1,1,1,3,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,3,2,2,2,3,2,1,3,3,2,2,4,3,3,1,3,1,2,1,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,147,0,0,0,0,0,0,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,4,6,85,1,1,1,3,-4,-4,-4,1,-4,-4,-4,-4,0,7,35,-4,12,0,35,40,843,10,18,1,14,0,0,-4,-4,147,147,82,1,126,-4,-4,-4,-4,-4,1,35,2,2,3,4,5,10,8,14600,1,12
2919,19,11,46,1,6,1,1,2,7,3,1,1,31,1,1,1,3,1,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-4,1,2,2,2,1,2,1,4,1,2,2,4,-2,-4,1,2,1,4,1,2,1,2,1,2,1,1,2,0,1,0,0,0,1,-4,0,0,300,0,-2,0,0,0,60,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,4,1,290,1,1,1,4,1,18,1,1,-4,-4,-4,-4,1,7,38,-4,13,0,52,60,814,13,38,-4,12,1,0,-4,-4,-2,300,68,2,135,1,52,195,65,18,1,52,10,1,2,2,2,4,5,-4,1,17
2920,16,4,49,1,6,1,1,2,7,2,1,2,31,1,1,1,3,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,4,3,2,2,2,1,3,1,2,3,1,2,4,2,3,1,3,1,2,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,200,0,0,0,0,0,0,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,4,1,555,0,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,45,-4,16,1,52,60,555,7,35,-4,14,1,0,-4,-4,200,200,18,12,119,1,52,555,18,16,0,0,10,2,3,4,5,10,9,-5,-5,-5
2921,15,6,50,1,6,1,1,2,7,2,1,2,31,1,1,1,3,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,3,4,2,4,1,4,1,4,3,2,2,4,3,4,1,4,1,2,1,2,2,2,2,1,1,1,2,1,1,0,0,0,1,-4,0,0,130,0,0,0,0,0,0,0,0,1,-4,-4,1,3,2,1,1,1,1,1,1,1,1,4,1,555,0,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,45,-4,16,1,52,60,555,7,35,-4,14,1,0,-4,-4,130,130,18,12,114,1,52,555,18,16,0,0,7,2,3,4,4,8,6,15000,6,16
