"R0000100","R0002200","R0002202","R0002203","R0002300","R0002400","R0002451","R0002454","R0002455","R0002456","R0002500","R0002700","R0002800","R0003400","R0003600","R0003800","R0003900","R0004000","R0004100","R0004300","R0005400","R0009100","R0010500","R0010800","R0011100","R0012800","R0015000","R0022600","R0022700","R0022800","R0022900","R0023000","R0023100","R0023200","R0023300","R0023400","R0023500","R0023600","R0023700","R0023800","R0024000","R0024100","R0024200","R0024300","R0024400","R0024500","R0024600","R0024800","R0024900","R0029700","R0029800","R0029900","R0030000","R0030100","R0030200","R0030300","R0030400","R0030500","R0030600","R0030700","R0030800","R0030900","R0031000","R0031100","R0031200","R0031300","R0031400","R0031500","R0031600","R0031700","R0031800","R0031900","R0032000","R0032100","R0032200","R0032300","R0032400","R0032500","R0032600","R0033600","R0033700","R0033800","R0033900","R0034600","R0034900","R0035100","R0035200","R0035300","R0035400","R0035500","R0035600","R0035700","R0035800","R0035900","R0036000","R0036100","R0037500","R0037600","R0037700","R0038000","R0038100","R0038200","R0038800","R0038900","R0039000","R0039100","R0039200","R0039300","R0039400","R0039500","R0039600","R0039700","R0039800","R0039900","R0040000","R0040100","R0040200","R0040400","R0040600","R0040700","R0040800","R0040900","R0041100","R0041300","R0041400","R0041500","R0042100","R0042200","R0042300","R0042400","R0042500","R0042600","R0042700","R0042800","R0042900","R0043000","R0043100","R0043200","R0043300","R0043400","R0043500","R0043600","R0062300","R0062310","R0062550","R0062600","R0062900","R0063000","R0063030","R0063060","R0063090","R0063100","R0063200","R0063230","R0171200","R0171300","R0171400","R0171500","R0171600","R0171700","R0171800","R0454700","R0507300","R0543940"
1721,23,7,42,1,1,0,0,3,1,8,5,1,35,2,2,1,4,4,0,2,6,1,1,1,1,-4,1,7,17,6,25,-4,-4,200,3,-4,200,3,-4,4,-4,-4,-4,-4,-4,-4,-4,715,1,-2,3,1,2,1,3,2,1,-2,2,1,1,-2,-2,-4,1,2,1,-2,1,2,1,1,1,-2,1,1,1,1,2,-4,0,0,2,1,1500,400,200,0,0,0,0,0,66,3600,40,2,3,7,1,2,2,1,2,1,1,2,1,1,1,2,1,632,0,1,0,4,1,8,1,4,0,-4,8,1,1,1,25,-4,13,0,0,-4,-4,2,3,-4,-4,-4,-4,-4,-4,1260,1260,19,6,83,1,52,995,-4,8,0,0,0,-4,-4,-4,-4,-4,-4,250,1,11
1722,17,12,48,1,6,0,0,3,1,8,5,1,35,2,2,1,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,3,2,2,2,-2,-4,1,4,2,1,2,4,-2,-4,1,4,1,3,1,2,2,1,1,1,1,1,2,1,1,0,1,-4,1,-4,0,0,30,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,685,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,49,-4,8,1,48,48,685,7,42,-4,12,1,48,40,631,30,30,10,6,102,1,48,685,10,8,1,48,4,2,3,3,4,8,6,198,1,14
1723,14,10,51,1,6,0,0,3,1,8,5,1,35,2,2,1,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,3,-2,-4,1,4,3,1,1,4,2,4,1,4,1,3,1,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,75,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,685,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,51,-4,8,1,52,40,685,7,46,-4,10,0,36,40,631,75,75,10,6,96,1,52,685,10,8,1,36,4,2,2,3,4,7,6,-5,-5,-5
1724,14,4,51,1,6,0,0,3,1,8,2,2,35,2,2,1,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,3,3,2,2,3,2,1,3,3,1,1,4,1,3,1,3,1,4,1,2,1,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,500,400,700,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,36,-4,12,1,52,75,200,7,34,-4,13,0,0,-4,-4,1600,1600,14,9,110,1,52,200,14,12,0,0,4,2,2,3,4,7,6,10000,1,16
1725,14,8,51,1,6,0,0,3,1,8,2,1,35,2,2,1,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-2,1,2,2,3,1,4,1,3,3,2,2,3,1,4,1,3,2,4,1,2,1,1,2,1,1,1,1,1,1,0,0,0,1,-4,0,0,300,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,2,1,1,1,1,1,200,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,49,-4,12,1,51,70,200,7,47,-4,11,1,0,-4,-4,300,300,14,9,98,1,51,200,14,12,0,0,2,1,2,2,3,5,5,850,1,12
1726,23,9,42,1,6,0,0,3,1,8,2,1,35,2,2,1,4,4,0,2,6,0,1,1,1,-4,2,1,8,5,22,14,22,-4,-4,3,250,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-2,3,3,2,2,1,-2,2,-2,3,3,-2,-4,3,3,1,1,1,1,1,2,2,1,1,1,1,1,1,0,2,-4,0,0,1,-4,0,0,0,0,0,1,8000,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,3,1,1,200,0,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,7,50,-4,8,1,52,21,902,-4,-4,-4,-4,-4,-4,-4,-4,8000,8000,14,9,81,-4,-4,-4,-4,-4,1,52,13,1,1,1,1,2,3,-5,-5,-5
1727,15,9,50,1,6,0,0,3,1,8,2,1,35,2,2,1,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,3,2,3,1,3,1,3,3,2,1,3,2,4,1,4,1,3,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,64,-4,8,1,52,70,200,7,55,-4,11,0,0,-4,-4,0,0,14,9,90,1,52,200,14,8,0,0,13,1,1,1,1,1,1,-4,1,12
1728,22,11,43,1,6,0,0,3,1,8,2,1,35,2,2,1,4,4,0,2,6,0,-4,-4,-4,-4,2,6,1,8,25,-4,-4,-4,-4,3,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,902,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,0,0,1,-4,0,0,1475,50,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,1,0,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,64,-4,8,0,46,62,200,7,39,-4,8,1,0,-4,-4,1525,1525,14,9,74,1,46,200,14,7,0,0,-4,-4,-4,-4,-4,-4,-4,200,6,8
1729,15,11,50,1,6,0,0,3,1,8,2,1,35,2,2,1,4,4,1,1,6,0,1,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,1,3,2,2,3,3,-2,-4,2,2,-2,-4,3,4,1,3,-2,-4,1,1,1,2,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,350,25,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,1,0,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,64,-4,8,0,46,62,200,7,39,-4,8,1,0,-4,-4,375,375,14,9,80,1,46,200,14,7,0,0,2,2,3,3,4,8,6,526,1,12
1730,19,2,47,1,6,0,0,3,1,8,2,1,35,2,2,1,4,4,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,3,2,2,-2,-4,1,2,3,1,2,4,-2,-4,1,4,1,4,1,2,1,2,1,-2,1,1,-2,0,1,0,0,0,1,-4,0,0,800,0,0,0,0,0,0,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,2,2,1,1,290,1,0,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,46,-4,12,1,52,44,290,7,47,-4,8,1,0,-4,-4,800,800,68,2,99,1,52,290,68,12,0,0,-4,-4,-4,-4,-4,-4,-4,19000,6,14
